museum_id;name ;city ;postal_code;address;collection_count;founding_year ;current_director;;;
Q1948674;Groeningemuseum;Bruges;8000;Dijver 12;2000;1930;Jonathan Nowakowski;;;
Q1471477;Royal Museum of Fine Arts Antwerp;Antwerp;2000;Leopold de Waelplaats 1;8400;1810;Carmen Willems;;;
Q2365880;Museum of Fine Arts Ghent;Ghent;9000;Fernand Scribedreef 1;15000;1798;Manfred Sellink;;;
Q21511875;La Boverie ;Liège ;4020;Parc de la Boverie;4112;2016;Pierre Paquet;;;
Q377500;The Royal Museums of Fine Arts of Belgium;Brussels ;1000;Regentschapsstraat 3;20000;1801;Michel Draguet;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;; 
