painting_id;title ;artist_id ;museum_id;year ;period;height;width;genre;medium;inventarisation_number;reference 
P052;Bloemenruiker;Q2828943;Q377500;1937;20th century;24;8;abstract ;oil paint;11988;null
P032;Miss Armstrong;Q21344629;Q1471477;1947;20th century;58.5;48;still life;oil paint;0000-0000 (2990);null
P054;Het voorouderlijk patroon;Q3416072;Q377500;1962;20th century;100;81;surrealism;oil paint;null;null
P055;Madame Veto (reeks van de Marie-Antoinettes);Q3416072;Q377500;1965;20th century;116.5;89;surrealism;oil paint;null;null
P010;Landschap met koeien;Q2058289;Q1948674;1831;19th century;50.5;100.5;landscape ;oil paint;0000.GRO0014.I;null
P011;Zonsondergang ;Q2058289;Q1948674;1831;19th century;70.5;122;landscape;oil paint;0000.GRO0015.I;null
P056;Bosrand in Zeeland;Q2058289;Q377500;1878;19th century;116;176;landscape;oil paint;null;null
P057;Een vijver te Hingene;Q2058289;Q377500;1886;19th century;155;222;landscape;oil paint;null;null
P058;Ingang van het klooster van Schilde;Q2058289;Q377500;null;null;119.5;176;landscape;oil paint;null;null
P202;Composition sur fond bleu;Q447789;Q21511875;1956;20th century;130;195;null;oil paint;BA.WAL.05b.1981.21094;https://collections.liegemusees.be/jsp/portal/index.jsp?action=portal_direct_view&record=musee:MUS_BIEN:27973
P059;Kind met ballon;Q443779;Q377500;1921;20th century;72.5;41.3;cubism;oil paint;null;null
P060;Bretoense kust;Q466668;Q377500;1901;20th century;108;146.5;landscape;oil paint;null;null
P203;De klippenkust van Sanary (Provence);Q466668;Q2365880;null;20th century;81.5;61.5;landscape;oil paint;1936-O;https://www.mskgent.be/collectie/1936-o
P204;Kaai in Mechelen;Q466668;Q2365880;1906;20th century;136.5;86.7;landscape;oil paint;1942-AK;https://www.mskgent.be/collectie/1942-ak
P002;Gang in het huis van de vrijgezel;Q21637181;Q1948674;1996;20th century;null;null;null;oil paint;1996.GRO0042.I;null
P205;Het atelier van de kunstenaar;Q21637181;Q2365880;1960;20th century;80;70.1;realism;oil paint;1975-B;https://www.mskgent.be/collectie/1975-b
P038;Gezegend bos ;Q274121;Q1471477;null;20th century;64;45;self portrait;aquarel;0000-0000(3042);null
P061;Architectuurstudie;Q274121;Q377500;null;null;26.3;20;abstract;gouache;null;null
P062;architectuurstudie;Q274121;Q377500;null;null;16.7;24.6;abstract;gouache;null;null
P063;De gouden stad;Q274121;Q377500;1955;20th century;150;100;abstract;oil paint;null;null
P064;De gouden stad;Q274121;Q377500;1955;20th century;25.5;16.2;abstract;aquarel;null;null
P065;De oosterse wijding;Q274121;Q377500;1956;20th century;80;67.7;abstract;oil paint;null;null
P066;De gouden stad;Q274121;Q377500;1955;20th century;16.2;9.6;abstract;aquarel;null;null
P067;De gouden stad;Q274121;Q377500;1955;20th century;50.5;40.5;abstract;aquarel;null;null
P068;Gezamelijk werd;Q274121;Q377500;1947;20th century;87.7;160;abstract;oil paint;null;null
P069;Landschap;Q274121;Q377500;null;null;44.3;55.8;abstract;gouache;null;null
P070;Meisje met de spiegel;Q274121;Q377500;null;null;25.7;19.9;abstract;gouache;null;null
P071;Moderne compositie;Q274121;Q377500;1951;20th century;79;64;abstract;oil paint;null;null
P072;Portret van de kunstenaar;Q274121;Q377500;1947;20th century;115;81;abstract;oil paint;null;null
P073;Reisherinneringen uit Portugal;Q274121;Q377500;null;null;19.9;25.6;abstract;aquarel;null;null
P074;Schetsboek;Q274121;Q377500;null;null;10.8;17.3;abstract;aquarel;null;null
P075;Studie voor een decoratieve compositie 1/2;Q274121;Q377500;null;null;19;36;abstract;gouache;null;null
P076;Studie voor een decoratieve compositie 2/2;Q274121;Q377500;null;null;19;36;abstract;gouache;null;null
P077;Studies 1/3;Q274121;Q377500;null;null;22;29;abstract;gouache;null;null
P078;Studies 2/3;Q274121;Q377500;null;null;18;20.2;abstract;gouache;null;null
P079;Studies 3/3;Q274121;Q377500;null;null;13.4;17.3;abstract;gouache;null;null
P080;Studies 1/2;Q274121;Q377500;null;null;21.4;26;abstract;gouache;null;null
P081;Studies 2/2;Q274121;Q377500;null;null;19.5;27.5;abstract;gouache;null;null
P082;Studies 1/2;Q274121;Q377500;null;null;20.7;26;abstract;gouache;null;null
P083;Studies 2/2;Q274121;Q377500;null;null;21;26.3;abstract;gouache;null;null
P084;Witte stad;Q274121;Q377500;1951;20th century;null;null;abstract;oil paint;null;null
P012;Portret van een man;Q123384880;Q1948674;null;19th century;null;null;portrait;oil paint;0000.GRO1340.I;null
P013;Heilige Hiëronymus;Q123384880;Q1948674;null;19th century;null;null;religious scene;oil paint;0000.GRO0589.I;null
P085;Tali Tjuta (vele zandheuvels);Q123384982;Q377500;2019;21th century;244;485;null;acrylic paint;null;null
P086;Vrouwenceremonie;Q82573963;Q377500;2019;21th century;244;485;null;acrylic paint;null;null
P087;Bloemen;Q1074555;Q377500;null;null;59.5;80.5;null;null;null;null
P088;Panorama van Saint-Paul-de-Vence;Q6557303;Q377500;null;null;46;55;landscape;oil paint;null;null
P089;Compositie;Q3292419;Q377500;1957;20th century;14.6;18.9;abstract;gouache;null;null
P090;Thalassa of het eerste element;Q3292419;Q377500;1967;20th century;90;116;abstract;oil paint;null;null
P206;Het Gardameer (Verona);Q3724632;Q2365880;null;20th century;45;51.3;impressionism;oil paint;1913-E;https://www.mskgent.be/collectie/1913-e
P091;Eenzaamheid. Sneeuw;Q21645086;Q377500;1942;20th century;27;25.7;landscape;gouache;null;null
P092;Vlaamse boomgaard;Q21345058;Q377500;null;null;121;102;landscape;oil paint;null;null
P049;Hofstede in Brabant ;Q21345058;Q1471477;1890;19th century;140.1;120.2;landscape;oil paint;0000-0000(1249);http://anet.be/record/opackmska/a::art.978
P107;Winter Holiday;Q21848563;Q377500;1983;20th century;55.5;73.3;abstract;aquarel;10149;null
P095;Azalea's en viooltjes;Q1847672;Q377500;null;null;92;72.5;still life;oil paint;null;null
P093;De abacus;Q123385039;Q377500;null;null;60;50;surrealism;oil paint;null;null
P094;De draak;Q123385039;Q377500;null;null;50;40;surrealism;oil paint;null;null
P235;Verdwaalde nimf uit het gevolg van Diana;Q21645446;Q2365880;1826;19th century;140.3;197.7;neoclassicism;oil paint;1826-E;https://www.mskgent.be/collectie/1826-e
P035;Standing naked ;Q21345080;Q1471477;null;20th century;314;157;still life;oil paint;0000-0000(1823/2);null
